# time (s)	h_+ (strain)	h_x (strain)
-1.942061254	-4.089398e-23	1.734054e-22
-1.942000219	-3.890021e-23	1.739637e-22
-1.941939184	-3.689886e-23	1.745016e-22
-1.941878149	-3.489010e-23	1.750191e-22
-1.941817114	-3.287408e-23	1.755159e-22
-1.941756079	-3.085098e-23	1.759921e-22
-1.941695043	-2.882094e-23	1.764475e-22
-1.941634008	-2.678415e-23	1.768821e-22
-1.941572973	-2.474076e-23	1.772957e-22
-1.941511938	-2.269094e-23	1.776882e-22
-1.941450903	-2.063485e-23	1.780596e-22
-1.941389868	-1.857268e-23	1.784097e-22
-1.941328832	-1.650459e-23	1.787384e-22
-1.941267797	-1.443075e-23	1.790457e-22
-1.941206762	-1.235133e-23	1.793315e-22
-1.941145727	-1.026651e-23	1.795956e-22
-1.941084692	-8.176475e-24	1.798381e-22
-1.941023657	-6.081391e-24	1.800586e-22
-1.940962621	-3.981441e-24	1.802573e-22
-1.940901586	-1.876805e-24	1.804340e-22
-1.940840551	2.323353e-25	1.805885e-22
-1.940779516	2.345796e-24	1.807209e-22
-1.940718481	4.463391e-24	1.808310e-22
-1.940657446	6.584936e-24	1.809187e-22
-1.940596411	8.710242e-24	1.809840e-22
-1.940535375	1.083912e-23	1.810267e-22
-1.940474340	1.297138e-23	1.810468e-22
-1.940413305	1.510683e-23	1.810441e-22
-1.940352270	1.724528e-23	1.810186e-22
-1.940291235	1.938653e-23	1.809703e-22
-1.940230200	2.153039e-23	1.808989e-22
-1.940169164	2.367666e-23	1.808045e-22
-1.940108129	2.582513e-23	1.806869e-22
-1.940047094	2.797561e-23	1.805460e-22
-1.939986059	3.012789e-23	1.803819e-22
-1.939925024	3.228177e-23	1.801943e-22
-1.939863989	3.443704e-23	1.799832e-22
-1.939802954	3.659349e-23	1.797486e-22
-1.939741918	3.875091e-23	1.794903e-22
-1.939680883	4.090909e-23	1.792082e-22
-1.939619848	4.306782e-23	1.789024e-22
-1.939558813	4.522687e-23	1.785727e-22
-1.939497778	4.738603e-23	1.782190e-22
-1.939436743	4.954509e-23	1.778412e-22
-1.939375707	5.170381e-23	1.774394e-22
-1.939314672	5.386197e-23	1.770134e-22
-1.939253637	5.601936e-23	1.765631e-22
-1.939192602	5.817574e-23	1.760884e-22
-1.939131567	6.033088e-23	1.755894e-22
-1.939070532	6.248455e-23	1.750659e-22
-1.939009496	6.463653e-23	1.745179e-22
-1.938948461	6.678657e-23	1.739452e-22
-1.938887426	6.893444e-23	1.733479e-22
-1.938826391	7.107990e-23	1.727258e-22
-1.938765356	7.322271e-23	1.720789e-22
-1.938704321	7.536262e-23	1.714072e-22
-1.938643286	7.749940e-23	1.707105e-22
-1.938582250	7.963278e-23	1.699888e-22
-1.938521215	8.176253e-23	1.692421e-22
-1.938460180	8.388839e-23	1.684703e-22
-1.938399145	8.601010e-23	1.676734e-22
-1.938338110	8.812742e-23	1.668512e-22
-1.938277075	9.024007e-23	1.660038e-22
-1.938216039	9.234781e-23	1.651310e-22
-1.938155004	9.445036e-23	1.642329e-22
-1.938093969	9.654746e-23	1.633094e-22
-1.938032934	9.863884e-23	1.623604e-22
-1.937971899	1.007242e-22	1.613859e-22
-1.937910864	1.028034e-22	1.603859e-22
-1.937849829	1.048760e-22	1.593604e-22
-1.937788793	1.069418e-22	1.583092e-22
-1.937727758	1.090005e-22	1.572323e-22
-1.937666723	1.110518e-22	1.561298e-22
-1.937605688	1.130955e-22	1.550015e-22
-1.937544653	1.151313e-22	1.538475e-22
-1.937483618	1.171588e-22	1.526677e-22
-1.937422582	1.191778e-22	1.514620e-22
-1.937361547	1.211880e-22	1.502306e-22
-1.937300512	1.231891e-22	1.489733e-22
-1.937239477	1.251808e-22	1.476901e-22
-1.937178442	1.271627e-22	1.463811e-22
-1.937117407	1.291347e-22	1.450461e-22
-1.937056371	1.310964e-22	1.436852e-22
-1.936995336	1.330474e-22	1.422984e-22
-1.936934301	1.349875e-22	1.408856e-22
-1.936873266	1.369163e-22	1.394470e-22
-1.936812231	1.388336e-22	1.379823e-22
-1.936751196	1.407391e-22	1.364918e-22
-1.936690161	1.426323e-22	1.349753e-22
-1.936629125	1.445129e-22	1.334329e-22
-1.936568090	1.463808e-22	1.318646e-22
-1.936507055	1.482354e-22	1.302704e-22
-1.936446020	1.500766e-22	1.286503e-22
-1.936384985	1.519039e-22	1.270043e-22
-1.936323950	1.537170e-22	1.253325e-22
-1.936262914	1.555157e-22	1.236348e-22
